+--------+--------+------+
| origin | destin | dist |
| BNA    | EWR    |  748 |
| BNA    | FLL    |  793 |
| BNA    | FSD    |  741 |
| BNA    | HOU    |  670 |
| BNA    | IAD    |  542 |
| BNA    | IAH    |  657 |
| BNA    | JAX    |  484 |
| BNA    | JFK    |  766 |
| BNA    | LAS    | 1588 |
| BNA    | LAX    | 1797 |
| BNA    | LGA    |  764 |
| BNA    | MCI    |  491 |
| BNA    | MCO    |  616 |
| BNA    | MDW    |  395 |
| BNA    | MEM    |  200 |
| BNA    | MIA    |  806 |
| BNA    | MKE    |  475 |
| BNA    | MSP    |  695 |
| BNA    | MSY    |  471 |
| BNA    | OAK    | 1959 |
| BNA    | ONT    | 1751 |
| BNA    | ORD    |  409 |
| BNA    | ORF    |  585 |
| BNA    | PHL    |  675 |
| BNA    | PHX    | 1448 |
| BNA    | PVD    |  907 |
| BNA    | RDU    |  443 |
| BNA    | SAN    | 1751 |
| BNA    | SAT    |  822 |
| BNA    | SEA    | 1977 |
| BNA    | SLC    | 1403 |
| BNA    | STL    |  271 |
| BNA    | TPA    |  612 |
| BOI    | ATL    | 1838 |
| BOI    | ATW    | 1377 |
| BOI    | DEN    |  649 |
| BOI    | GEG    |  287 |
| BOI    | GJT    |  505 |
| BOI    | LAS    |  520 |
| BOI    | LAX    |  674 |
| BOI    | MSP    | 1142 |
| BOI    | OAK    |  511 |
| BOI    | ONT    |  660 |
| BOI    | ORD    | 1437 |
| BOI    | PDX    |  344 |
| BOI    | PHX    |  735 |
| BOI    | PIT    | 1849 |
| BOI    | RNO    |  335 |
| BOI    | SAN    |  749 |
| BOI    | SEA    |  399 |
| BOI    | SFO    |  522 |
| BOI    | SLC    |  291 |
| BOS    | ACK    |   91 |
| BOS    | ATL    |  946 |
| BOS    | AUS    | 1698 |
| BOS    | BGR    |  201 |
| BOS    | BNA    |  943 |
| BOS    | BTV    |  181 |
| BOS    | BUF    |  396 |
| BOS    | BWI    |  370 |
| BOS    | CAK    |  549 |
| BOS    | CHS    |  818 |
| BOS    | CLE    |  563 |
| BOS    | CLT    |  728 |
| BOS    | CMH    |  640 |
| BOS    | CVG    |  752 |
| BOS    | DCA    |  399 |
| BOS    | DEN    | 1754 |
| BOS    | DFW    | 1562 |
| BOS    | DTW    |  632 |
| BOS    | EWR    |  200 |
| BOS    | FLL    | 1237 |
| BOS    | GGG    | 1468 |
| BOS    | GSO    |  645 |
| BOS    | IAD    |  413 |
| BOS    | IAH    | 1597 |
| BOS    | IND    |  817 |
| BOS    | JAX    | 1011 |
| BOS    | JFK    |  187 |
| BOS    | LAS    | 2381 |
| BOS    | LAX    | 2611 |
| BOS    | LGA    |  185 |
| BOS    | LGB    | 2602 |
| BOS    | MCO    | 1121 |
| BOS    | MDW    |  861 |
| BOS    | MEM    | 1139 |
| BOS    | MIA    | 1258 |
| BOS    | MKE    |  860 |
| BOS    | MSP    | 1124 |
| BOS    | MSY    | 1367 |
| BOS    | MYR    |  738 |
| BOS    | OAK    | 2693 |
| BOS    | ORD    |  867 |
| BOS    | ORF    |  468 |
| BOS    | PBI    | 1197 |
| BOS    | PDX    | 2537 |
| BOS    | PHF    |  464 |
| BOS    | PHL    |  280 |
| BOS    | PHX    | 2300 |
| BOS    | PIT    |  496 |
| BOS    | RDU    |  612 |
| BOS    | RIC    |  474 |
| BOS    | RSW    | 1249 |
| BOS    | SAN    | 2588 |
| BOS    | SAV    |  901 |
| BOS    | SDF    |  829 |
| BOS    | SEA    | 2496 |
| BOS    | SFO    | 2704 |
| BOS    | SJC    | 2689 |
| BOS    | SJU    | 1674 |
| BOS    | SLC    | 2105 |
| BOS    | SRQ    | 1220 |
| BOS    | STL    | 1046 |
| BOS    | STT    | 1693 |
| BOS    | TPA    | 1185 |
| BPT    | IAH    |   79 |
| BQK    | ATL    |  238 |
| BQN    | EWR    | 1585 |
| BQN    | JFK    | 1576 |
| BQN    | MCO    | 1129 |
| BRO    | IAH    |  308 |
| BRW    | ANC    |  725 |
| BRW    | FAI    |  503 |
| BTM    | SLC    |  357 |
| BTR    | ATL    |  449 |
| BTR    | CVG    |  693 |
| BTR    | DCA    |  985 |
| BTR    | DEN    |  997 |
| BTR    | DFW    |  383 |
| BTR    | IAH    |  253 |
| BTR    | MEM    |  319 |
| BTR    | MSY    |   65 |
| BTR    | ORD    |  810 |
| BTV    | ATL    |  960 |
| BTV    | BWI    |  408 |
| BTV    | CLE    |  489 |
| BTV    | CVG    |  702 |
| BTV    | DTW    |  536 |
| BTV    | EWR    |  266 |
| BTV    | IAD    |  442 |
| BTV    | IND    |  749 |
| BTV    | JFK    |  267 |
| BTV    | MCO    | 1195 |
| BTV    | MSP    |  986 |
| BTV    | ORD    |  763 |
| BUF    | ATL    |  712 |
| BUF    | BOS    |  396 |
| BUF    | BWI    |  281 |
| BUF    | CLE    |  192 |
| BUF    | CLT    |  546 |
| BUF    | CVG    |  410 |
| BUF    | DCA    |  296 |
| BUF    | DFW    | 1212 |
| BUF    | DTW    |  240 |
| BUF    | EWR    |  282 |
| BUF    | FLL    | 1166 |
| BUF    | IAD    |  284 |
| BUF    | JFK    |  301 |
| BUF    | LAS    | 1987 |
| BUF    | MCO    | 1011 |
| BUF    | MDW    |  468 |
| BUF    | MSP    |  734 |
| BUF    | ORD    |  473 |
| BUF    | PHL    |  279 |
| BUF    | PHX    | 1912 |
| BUF    | RSW    | 1144 |
| BUF    | TPA    | 1054 |
| BUR    | DEN    |  850 |
| BUR    | DFW    | 1231 |
| BUR    | IAD    | 2279 |
| BUR    | JFK    | 2465 |
| BUR    | LAS    |  223 |
| BUR    | OAK    |  325 |
| BUR    | PDX    |  817 |
| BUR    | PHX    |  369 |
| BUR    | PMD    |   33 |
| BUR    | PSP    |  109 |
| BUR    | RNO    |  374 |
| BUR    | SEA    |  937 |
| BUR    | SFO    |  326 |
| BUR    | SJC    |  296 |
| BUR    | SLC    |  574 |
| BUR    | SMF    |  358 |
| BUR    | TUS    |  453 |
| BWI    | ABQ    | 1670 |
| BWI    | ALB    |  288 |
| BWI    | ATL    |  576 |
| BWI    | AUS    | 1342 |
| BWI    | BDL    |  283 |
| BWI    | BHM    |  682 |
| BWI    | BNA    |  588 |
| BWI    | BOS    |  370 |
| BWI    | BTV    |  408 |
| BWI    | BUF    |  281 |
| BWI    | CLE    |  314 |
| BWI    | CLT    |  361 |
| BWI    | CMH    |  336 |
| BWI    | CVG    |  430 |
| BWI    | DAB    |  733 |
| BWI    | DAY    |  406 |
| BWI    | DEN    | 1491 |
| BWI    | DFW    | 1217 |
| BWI    | DTW    |  408 |
| BWI    | EWR    |  169 |
| BWI    | FLL    |  925 |
| BWI    | GRR    |  528 |
| BWI    | HOU    | 1246 |
| BWI    | IAH    | 1235 |
| BWI    | IND    |  515 |
| BWI    | ISP    |  220 |
| BWI    | JAN    |  888 |
| BWI    | JAX    |  663 |
| BWI    | JFK    |  184 |
| BWI    | LAS    | 2106 |
| BWI    | LAX    | 2329 |
| BWI    | LGA    |  185 |
| BWI    | LIT    |  912 |
| BWI    | MCI    |  967 |
| BWI    | MCO    |  787 |
| BWI    | MDW    |  611 |
| BWI    | MEM    |  787 |
| BWI    | MHT    |  377 |
| BWI    | MIA    |  946 |
